timestamp,ts,relative_s,run_id,system,scenario,event,perturbation,method,target_store_id,target_container,success,error
2026-05-11T16:36:35+0000,1778517395.8056154,4.004586219787598,1,TiDB,leader_cpu_stress,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:36:42+0000,1778517402.3360896,10.535060405731201,1,TiDB,leader_cpu_stress,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:37:02+0000,1778517422.709651,4.002990961074829,1,TiDB,leader_network_perturbation,start,network,docker_pause_fallback,3,exp1_tidb_tikv1,True,
2026-05-11T16:37:08+0000,1778517428.9241645,10.217504501342773,1,TiDB,leader_network_perturbation,stop,network,docker_pause_fallback,3,exp1_tidb_tikv1,True,
2026-05-11T16:37:30+0000,1778517450.325918,4.004763603210449,1,TiDB,leader_cpu_stress_limited,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:37:36+0000,1778517456.760251,10.439096689224243,1,TiDB,leader_cpu_stress_limited,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:38:23+0000,1778517503.3092172,4.005332708358765,2,TiDB,leader_cpu_stress,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:38:29+0000,1778517509.8245177,10.520633220672607,2,TiDB,leader_cpu_stress,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:38:50+0000,1778517530.3205137,4.002455472946167,2,TiDB,leader_network_perturbation,start,network,docker_pause_fallback,3,exp1_tidb_tikv1,True,
2026-05-11T16:38:56+0000,1778517536.5321891,10.214130878448486,2,TiDB,leader_network_perturbation,stop,network,docker_pause_fallback,3,exp1_tidb_tikv1,True,
2026-05-11T16:39:19+0000,1778517559.046411,4.002469062805176,2,TiDB,leader_cpu_stress_limited,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:39:25+0000,1778517565.5647643,10.520822286605835,2,TiDB,leader_cpu_stress_limited,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:40:12+0000,1778517612.724147,4.003773212432861,3,TiDB,leader_cpu_stress,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:40:19+0000,1778517619.176017,10.45564317703247,3,TiDB,leader_cpu_stress,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:40:40+0000,1778517640.0483992,4.001915216445923,3,TiDB,leader_network_perturbation,start,network,docker_pause_fallback,2,exp1_tidb_tikv0,True,
2026-05-11T16:40:46+0000,1778517646.261012,10.21452808380127,3,TiDB,leader_network_perturbation,stop,network,docker_pause_fallback,2,exp1_tidb_tikv0,True,
2026-05-11T16:41:08+0000,1778517668.0027962,4.0040283203125,3,TiDB,leader_cpu_stress_limited,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:41:14+0000,1778517674.4482224,10.449454545974731,3,TiDB,leader_cpu_stress_limited,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:42:02+0000,1778517722.133151,4.002412557601929,4,TiDB,leader_cpu_stress,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:42:08+0000,1778517728.5889387,10.458200216293335,4,TiDB,leader_cpu_stress,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:42:27+0000,1778517747.9041154,4.0006139278411865,4,TiDB,leader_network_perturbation,start,network,docker_pause_fallback,3,exp1_tidb_tikv1,True,
2026-05-11T16:42:34+0000,1778517754.1002831,10.196781635284424,4,TiDB,leader_network_perturbation,stop,network,docker_pause_fallback,3,exp1_tidb_tikv1,True,
2026-05-11T16:42:56+0000,1778517776.1402335,4.0040411949157715,4,TiDB,leader_cpu_stress_limited,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:43:02+0000,1778517782.596742,10.460549592971802,4,TiDB,leader_cpu_stress_limited,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:43:50+0000,1778517830.4612384,4.004864931106567,5,TiDB,leader_cpu_stress,start,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:43:56+0000,1778517836.972946,10.51657247543335,5,TiDB,leader_cpu_stress,stop,cpu,shell_busy_loop,3,exp1_tidb_tikv1,True,
2026-05-11T16:44:17+0000,1778517857.3203354,4.001973390579224,5,TiDB,leader_network_perturbation,start,network,docker_pause_fallback,3,exp1_tidb_tikv1,True,
2026-05-11T16:44:23+0000,1778517863.5363793,10.218017339706421,5,TiDB,leader_network_perturbation,stop,network,docker_pause_fallback,3,exp1_tidb_tikv1,True,
2026-05-11T16:44:45+0000,1778517885.3456068,4.001802206039429,5,TiDB,leader_cpu_stress_limited,start,cpu,shell_busy_loop,1,exp1_tidb_tikv2,True,
2026-05-11T16:44:51+0000,1778517891.784176,10.4403715133667,5,TiDB,leader_cpu_stress_limited,stop,cpu,shell_busy_loop,1,exp1_tidb_tikv2,True,
