场景,节点,重复次数,组件,平均CPU(%),平均CPU(%)标准差,平均CPU(%)95%置信区间半宽,峰值CPU(%),峰值CPU(%)标准差,峰值CPU(%)95%置信区间半宽,平均内存(MB),平均内存(MB)标准差,平均内存(MB)95%置信区间半宽,峰值内存(MB),峰值内存(MB)标准差,峰值内存(MB)95%置信区间半宽
均匀流量,Citus协调节点,5,协调节点,189.16,16.6,14.55,189.16,16.6,14.55,291.82,4.86,4.26,291.82,4.86,4.26
均匀流量,Citus工作节点0,5,工作节点,73.24,11.03,9.67,73.24,11.03,9.67,223.92,2.64,2.31,223.92,2.64,2.31
均匀流量,Citus工作节点1,5,工作节点,71.43,5.4,4.73,71.43,5.4,4.73,196.58,43.02,37.71,196.58,43.02,37.71
均匀流量,Citus工作节点2,5,工作节点,60.37,5.76,5.05,60.37,5.76,5.05,153.46,32.62,28.59,153.46,32.62,28.59
70% 热点流量,Citus协调节点,5,协调节点,121.78,43.2,37.86,121.78,43.2,37.86,286.48,2.94,2.58,286.48,2.94,2.58
70% 热点流量,Citus工作节点0,5,工作节点,49.35,37.13,32.55,49.35,37.13,32.55,228.26,8.51,7.46,228.26,8.51,7.46
70% 热点流量,Citus工作节点1,5,工作节点,43.35,9.72,8.52,43.35,9.72,8.52,161.68,6.0,5.26,161.68,6.0,5.26
70% 热点流量,Citus工作节点2,5,工作节点,40.25,9.35,8.19,40.25,9.35,8.19,128.61,35.52,31.13,128.61,35.52,31.13
90% 热点流量,Citus协调节点,5,协调节点,38.22,15.96,13.99,38.22,15.96,13.99,284.62,2.14,1.87,284.62,2.14,1.87
90% 热点流量,Citus工作节点0,5,工作节点,90.43,66.98,58.71,90.43,66.98,58.71,232.98,2.78,2.44,232.98,2.78,2.44
90% 热点流量,Citus工作节点1,5,工作节点,13.5,6.23,5.47,13.5,6.23,5.47,90.86,10.51,9.21,90.86,10.51,9.21
90% 热点流量,Citus工作节点2,5,工作节点,14.14,6.04,5.29,14.14,6.04,5.29,94.68,11.65,10.21,94.68,11.65,10.21
