场景,阶段,重复次数,缓解策略,扰动类型,请求数,请求数标准差,请求数95%置信区间半宽,成功率(%),成功率(%)标准差,成功率(%)95%置信区间半宽,失败率(%),失败率(%)标准差,失败率(%)95%置信区间半宽,超时率(%),超时率(%)标准差,超时率(%)95%置信区间半宽,总处理吞吐量(请求/秒),总处理吞吐量(请求/秒)标准差,总处理吞吐量(请求/秒)95%置信区间半宽,业务成功吞吐量(请求/秒),业务成功吞吐量(请求/秒)标准差,业务成功吞吐量(请求/秒)95%置信区间半宽,成功请求平均延迟(ms),成功请求平均延迟(ms)标准差,成功请求平均延迟(ms)95%置信区间半宽,成功请求P95延迟(ms),成功请求P95延迟(ms)标准差,成功请求P95延迟(ms)95%置信区间半宽,成功请求P99延迟(ms),成功请求P99延迟(ms)标准差,成功请求P99延迟(ms)95%置信区间半宽
正常基线,正常期,5,TiDB原生调度,无扰动,31178.0,615.11,539.17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.63,38.43,33.69,1929.63,38.43,33.69,24.46,0.53,0.47,142.12,13.26,11.62,390.8,61.77,54.14
Leader CPU压力,正常期,5,TiDB原生调度,CPU压力,6958.4,901.99,790.63,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.24,230.39,201.95,1775.24,230.39,201.95,26.31,4.44,3.89,145.4,25.57,22.42,358.69,105.79,92.73
Leader CPU压力,扰动期,5,TiDB原生调度,CPU压力,6157.8,591.39,518.37,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.23,84.76,74.29,972.23,84.76,74.29,46.63,4.6,4.04,270.52,77.91,68.29,712.25,127.09,111.4
Leader CPU压力,恢复期,5,TiDB原生调度,CPU压力,11158.2,511.9,448.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622.17,59.25,51.93,1622.17,59.25,51.93,26.89,1.38,1.21,134.23,21.18,18.56,458.14,56.56,49.57
Leader网络扰动,正常期,5,TiDB原生调度,网络扰动,7575.0,365.63,320.49,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933.89,88.92,77.94,1933.89,88.92,77.94,23.85,0.9,0.79,127.4,34.59,30.32,334.6,100.0,87.65
Leader网络扰动,扰动期,5,TiDB原生调度,网络扰动,24832.2,2276.46,1995.41,1.45,0.27,0.24,98.55,0.27,0.24,0.0,0.0,0.0,3899.01,356.68,312.64,56.19,9.96,8.73,22.53,2.5,2.19,110.76,48.75,42.73,305.11,145.95,127.93
Leader网络扰动,恢复期,5,TiDB原生调度,网络扰动,36346.2,3627.39,3179.55,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6040.41,606.42,531.55,0.0,0.0,0.0,7.94,0.79,0.69,11.02,1.13,0.99,14.12,1.61,1.41
Leader CPU压力+应用侧限流,正常期,5,应用侧限流,CPU压力,6451.0,264.32,231.69,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627.1,63.89,56.0,1627.1,63.89,56.0,6.97,0.45,0.39,17.68,2.15,1.88,43.54,9.78,8.58
Leader CPU压力+应用侧限流,扰动期,5,应用侧限流,CPU压力,6485.6,365.14,320.06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.61,58.67,51.43,1079.61,58.67,51.43,13.22,0.96,0.84,51.65,2.81,2.46,79.87,4.21,3.69
Leader CPU压力+应用侧限流,恢复期,5,应用侧限流,CPU压力,9435.2,271.64,238.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546.53,44.82,39.29,1546.53,44.82,39.29,7.47,0.36,0.31,20.37,2.4,2.11,56.24,3.77,3.31
