场景,阶段,TiKV节点,重复次数,目标Leader节点,目标Leader节点占比(%),目标Leader节点占比(%)标准差,目标Leader节点占比(%)95%置信区间半宽,平均CPU(%),平均CPU(%)标准差,平均CPU(%)95%置信区间半宽,峰值CPU(%),峰值CPU(%)标准差,峰值CPU(%)95%置信区间半宽,平均内存(MB),平均内存(MB)标准差,平均内存(MB)95%置信区间半宽,峰值内存(MB),峰值内存(MB)标准差,峰值内存(MB)95%置信区间半宽
正常基线,正常期,TiKV节点0,5,TiKV节点1,0.0,0.0,0.0,51.79,12.68,11.12,64.6,17.6,15.43,2188.6,26.31,23.06,2193.0,26.29,23.05
正常基线,正常期,TiKV节点1,5,TiKV节点1,60.0,54.77,48.01,107.44,51.87,45.46,137.1,68.25,59.82,2167.5,33.97,29.78,2173.95,37.0,32.43
正常基线,正常期,TiKV节点2,5,TiKV节点1,40.0,54.77,48.01,88.01,55.23,48.41,110.63,66.82,58.57,2223.07,14.18,12.43,2230.89,15.59,13.67
Leader CPU压力,正常期,TiKV节点0,5,TiKV节点1,0.0,0.0,0.0,47.72,12.66,11.1,51.87,14.04,12.31,2190.54,26.33,23.08,2191.16,26.21,22.98
Leader CPU压力,正常期,TiKV节点1,5,TiKV节点1,100.0,0.0,0.0,180.41,17.39,15.25,201.26,18.18,15.94,2180.3,36.68,32.15,2181.73,35.63,31.23
Leader CPU压力,正常期,TiKV节点2,5,TiKV节点1,0.0,0.0,0.0,53.5,11.28,9.89,59.53,11.49,10.07,2233.86,13.19,11.56,2234.37,13.74,12.04
Leader CPU压力,扰动期,TiKV节点0,5,TiKV节点1,0.0,0.0,0.0,36.83,12.26,10.75,41.88,15.94,13.97,2189.82,26.16,22.93,2190.75,26.55,23.27
Leader CPU压力,扰动期,TiKV节点1,5,TiKV节点1,100.0,0.0,0.0,197.59,9.31,8.16,206.18,4.18,3.66,2180.61,31.66,27.75,2182.35,32.31,28.32
Leader CPU压力,扰动期,TiKV节点2,5,TiKV节点1,0.0,0.0,0.0,37.14,5.35,4.69,40.16,5.42,4.75,2228.94,12.88,11.29,2231.09,12.32,10.8
Leader CPU压力,恢复期,TiKV节点0,5,TiKV节点1,0.0,0.0,0.0,29.72,6.31,5.53,49.88,13.23,11.59,2188.49,26.2,22.96,2188.9,26.26,23.02
